source_row,title,classification,priority,reason,review_status,python_rule_candidate,notes
253,Housing Support Worker - Tow Law - Durham - ADHOC Shifts,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
254,Housing Support Worker - Waking Nights - Durham - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
255,Housing Support Worker - Waking Nights - Tow Law - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
256,Housing Support Worker - Waking Nights - Whitley Bay - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
257,Housing Support Worker - Wallsend - ADHOC Shifts,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
258,Housing Support Worker - Wallsend - Lates - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
259,Housing Support Worker - Wallsend - Waking Nights - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
260,Housing Support Worker - Whitley Bay - Days - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
261,Housing Support Worker - Whitley Bay - Lates - £13.72,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
262,Housing Support Worker / Case Worker,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
263,Housing Support Worker / Night Concierge,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
264,Inclusion and SEND Support Assistant - Gloucester,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
265,Intern Student Support Assistant,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
266,Island Community Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
267,Island Residential Care Assistant,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
268,Jewish Living Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
269,Lady Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
270,Lead Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
271,Learning Disability Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
272,Learning Support Assistant,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
273,Learning Support Assistant Study Programme,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
274,Learning Support Worker,ELASTIC_FIT,2,learning support worker ambiguous unless learning disability is explicit,REVIEW,NO - review first,
275,Live in Care Assistant to Film & TV Student,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
276,Live In Care Worker,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
277,Live in Personal Care Assistant to a Young Law Graduate at home,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
278,Live-In Care Assistant for a Creative Writing Uni Graduate,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
279,"Live-in Care Assistant for a Creative Writing, Film & Theatre Uni",HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
280,Live-In Care Assistant to a Creative Writing student,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
281,Live-In Lifestyle / Care Assistant for a Creative Writing Uni Student,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
282,Live-In Personal Care Assistant for a History PhD Student,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
283,Locum Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
284,LSA / TA / Care Assistant / Support Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
285,LSA/TA/Care Assistant/SEND Support Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
286,Male Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
287,"Male Support Worker - Handsworth, Sheffield",HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
288,Male Support Worker - Leicester LE4,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
289,Male Support Worker - Must Be A Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
290,Male Support Workers - Newcastle,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
291,Mental Health Student Support Assistant,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
292,Mental Health Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
293,Mental Health Support Worker - School Settings,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
294,Mental Health Support Worker / Learning Mentor,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
295,Multi Site Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
296,Night Care Assistant,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: night care,STABLE,YES,
297,Night Care Assistant - Bank,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: bank, night care",STABLE,YES,
298,Night Care Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: night care,STABLE,YES,
299,Night Care Worker - Part-Time,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: night care,STABLE,YES,
300,Night Child Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
301,Night Healthcare Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
302,Night Senior Health Care Assistant,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
303,Night Senior Healthcare Assistant,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
304,Night Senior Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
305,Night Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: night support,STABLE,YES,
306,Night Support Worker - Children's Homes,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: night support,STABLE,YES,
307,Night Support Worker - Part Time,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: night support,STABLE,YES,
308,Night Support Worker 0061,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: night support,STABLE,YES,
309,Night Young Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
310,Nights Health Care Assistant,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: nights,STABLE,YES,
311,Nights Healthcare Assistant,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: nights,STABLE,YES,
312,Nights Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: nights,STABLE,YES,
313,Paediatric Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
314,Paediatric Healthcare Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
315,"Part time Ear Wax Removal Technician/Hearing Care Assistant -Kirk Ella, North Yorkshire",HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
316,Part Time Female Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
317,Part Time Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
318,Part Time Support Worker - Penryn,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
319,Part Time Support Worker - Surrey West Hollyhead,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
320,Part Time Support Worker - Surrey West Littlefields,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
321,Part Time Weekend Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
322,Pastoral Support Worker,REVIEW_CONTEXT_DEPENDENT,50,demoted from HC in V10 cleanup: specialist/context-dependent title marker: pastoral,REVIEW,NO - review first,
323,Peebles - Relief Support Practitioners,ELASTIC_FIT,2,contains support/care signal but no stable rule yet,REVIEW,NO - review first,
324,Peer Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
325,Personal Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
326,Reablement Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
327,Reablement Support Worker Evenings,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
328,Reablement Support Worker Weekends,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
329,Recovery Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
330,Recovery Support Worker - Exeter,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
331,Recovery Support Worker - Maternity Cover,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
332,Recovery Support Worker -Mental Health - Bolton,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
333,Recovery Worker,ELASTIC_FIT,2,recovery/outreach/key/project/enabling worker without support-worker wording,REVIEW,NO - review first,
334,Regional Care Assistant,HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
335,Regional Care Assistant - Bank,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
336,Regional Care Assistant - Complex Care,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: complex care,STABLE,YES,
337,Regional Care Assistant Complex Care,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: complex care,STABLE,YES,
338,Rehabilitation Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
339,Relief Activity Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: relief,STABLE,YES,
340,Relief Care Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: relief,STABLE,YES,
341,Relief Extra Care Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: relief,STABLE,YES,
342,Relief Female Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: relief,STABLE,YES,
343,Relief Housing Support Worker,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
344,Relief Night Care Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: relief, night care",STABLE,YES,
345,Relief Recovery Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: relief,STABLE,YES,
346,Relief Residential Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: relief, residential",STABLE,YES,
347,Relief Senior Care Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
348,Relief Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: relief,STABLE,YES,
349,Relief Waking Night Support Worker,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: relief, waking night, night support",STABLE,YES,
350,Resident Project Support Worker (Housing),HARD_PASS,3,manager/coordinator/officer/admin/business support,STABLE,YES,
351,Residential Care Worker,ELASTIC_FIT,2,residential childcare/care worker without support-worker wording,REVIEW,NO - review first,
352,Residential Care Worker Children - Assessment Home,ELASTIC_FIT,2,residential childcare/care worker without support-worker wording,REVIEW,NO - review first,
353,Residential Care Worker Children's,ELASTIC_FIT,2,residential childcare/care worker without support-worker wording,REVIEW,NO - review first,
354,Residential Child Care Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
355,Residential Child Care Worker (Sessional/Casual),ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: casual, sessional, residential",STABLE,YES,
356,Residential Childcare Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
357,Residential Childcare Support Worker (Casual),ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: casual, residential",STABLE,YES,
358,Residential Childcare Support Worker (Sessional/Casual),ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: casual, sessional, residential",STABLE,YES,
359,Residential Children Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
360,Residential Children's Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
361,Residential Childrens Senior Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
362,Residential Childrens Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
363,Residential Support Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
364,Residential Support Worker - Attached to school,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
365,Residential Support Worker / Childrens Centre Assistant (Cook),ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
366,Residential Support Worker Children's Services,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
367,Residential Support Worker Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
368,Residential Support Worker Outside IR35,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
369,Residential Support Worker- Young People,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
370,Residential Support Workers,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
371,Residential Support Workers- Full time Role,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
372,Rough Sleepers Recovery Worker,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
373,School Autism Support Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
374,School Support Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
375,School-Based Care Assistant,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
376,School-Based Care Assistant (PMLD and Complex Needs),HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
377,Scottish Island- Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
378,Secondary School Support Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
379,Secure Children's Home Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
380,SEMH Support Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
381,SEN School Support Worker / Great SEN School,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
382,SEN Support Worker,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
383,SEN Support Worker Assistant,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
384,SEN support workers,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
385,SEND Business support assistant,HARD_PASS,3,manager/coordinator/officer/admin/business support,STABLE,YES,
386,Senior Business Support Assistant,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
387,Senior Business Support Assistant - Minute taking,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
388,Senior Business Support Assistant/PA role,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
389,Senior Care Assistant,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
390,Senior Care Assistant - Care Home,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
391,Senior Care Assistant - Care Home - Bank,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
392,Senior Care Assistant Nightshift - Our Ladys,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
393,Senior Care Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
394,Senior Children Residential Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
395,Senior Children's Residential Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
396,Senior Childrens Residential Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
397,Senior Childrens Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
398,Senior Childrens Therapeuitc Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
399,Senior Community Healthcare Support Worker - Paediatrics,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
400,Senior Community Healthcare Support Worker Paediatrics,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
401,Senior Community Support Practitioner,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
402,Senior Day Care Assistant,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
403,Senior Health Care Assistant - Days,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
404,"Senior Health care assistant - Leeds, Halifax and Newcastle",HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
405,Senior Healthcare Assistant,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
406,Senior Night Care Assistant,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
407,Senior Night Care Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
408,Senior Night Care Worker - Part-Time,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
409,Senior Night Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
410,Senior Night Waking Youth Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
411,Senior Recovery Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
412,Senior Residential Care Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
413,Senior Residential Care Worker Children's,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
414,Senior Residential Childcare Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
415,Senior Residential Childrens Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
416,Senior Residential Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
417,Senior Residential Support Worker Children's Services,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
418,Senior Residential Support Worker Childrens Services,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
419,Senior Specialist Support Worker (maternity cover),HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
420,Senior Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
421,Senior Support Worker - Must be a Driver,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
422,Senior Support Worker- Female,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
423,Senior Support Worker- Young People,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
424,Senior Support Worker/Care Practitioner (Waking Nights),HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
425,Senior Support Workers,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
426,Senior Youth Support Worker,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
427,Skilled Support Workers and Care Assistants,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
428,"Social Care Worker, Rochdale Council",HIGH_CONFIDENCE,1,care assistant/worker frontline wording,STABLE,YES,
429,Social worker and support workers,HARD_PASS,3,nurse/clinical professional/social worker,STABLE,YES,
430,Specialist Domestic Abuse Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
431,Specialist Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
432,Specialist Support Worker - Housing Lead,HARD_PASS,3,senior/lead/team leader/deputy role,STABLE,YES,
433,Specialist Support Worker / Refuge Advocate,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
434,Specialist Therapeutic Foster Carer - Family Support Worker,HARD_PASS,3,"foster carer route, not support-worker slice",STABLE,YES,
435,Specialist Therapeutic Foster Carer - Healthcare Assistant & Support Worker,HARD_PASS,3,"foster carer route, not support-worker slice",STABLE,YES,
436,Specialist Therapeutic Foster Carer - Residential Childcare Worker/Practitioner,HARD_PASS,3,"foster carer route, not support-worker slice",STABLE,YES,
437,"Speech, Language and Communication support worker",REVIEW_CONTEXT_DEPENDENT,50,"demoted from HC in V10 cleanup: specialist/context-dependent title marker: speech, language and communication",REVIEW,NO - review first,
438,Support Practitioner,ELASTIC_FIT,2,support assistant/practitioner; adjacent to support-worker search term,REVIEW,NO - review first,
439,Support Worker,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
440,Support Worker - Ammanford,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
441,Support Worker - Band 3,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
442,Support Worker - Bank,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
443,Support Worker - Bank Worker,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
444,Support Worker - Burnley,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
445,Support Worker - Cardiff,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
446,Support Worker - Children & Young People,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
447,Support Worker - Children's Residential,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
448,Support Worker - Childrens Residential Care,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: residential,STABLE,YES,
449,Support Worker - Childrens Services,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
450,Support Worker - Choppington,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
451,Support Worker - Cramlington,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
452,Support Worker - Dairy Mews,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
453,Support Worker - Days,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
454,Support Worker - Days / Nights,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: nights,STABLE,YES,
455,Support worker - Deaf Community,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
456,Support Worker - Deaf Services,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
457,Support Worker - East Lancashire -,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
458,Support Worker - Evenings,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
459,Support Worker - Female,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
460,Support Worker - Female drivers required,HARD_PASS,3,driver/transport requirement,STABLE,YES,
461,Support Worker - Full Time - Must be Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
462,Support Worker - Halifax,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
463,Support Worker - Homelessness,HARD_PASS,3,housing/homelessness/tenancy,STABLE,YES,
464,Support Worker - Kings Lynn,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
465,Support Worker - Learning Disabilities (Temporary),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
466,Support Worker - Leyland and Chorley,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
467,Support Worker - Male,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
468,Support Worker - Mother & Baby Home,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
469,Support Worker - Must be a driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
470,Support Worker - Must Be Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
471,Support Worker - Newbiggin by the Sea,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
472,Support Worker - Part-Time,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
473,Support Worker - Portadown,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
474,Support Worker - Surrey East -Burntwood Lane,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
475,Support Worker - Surrey West Yewtree,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
476,Support Worker - Waking Nights,ELASTIC_FIT,2,"demoted from HC in V10 cleanup: elastic modifier: waking night, nights",STABLE,YES,
477,Support Worker - Winlaton,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
478,Support Worker - Workington,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
479,Support Worker - Workington Nights,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: nights,STABLE,YES,
480,Support Worker - Young Adults 0064,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
481,Support Worker -Surrey West - Woking Varied Services,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
482,Support Worker (Autism Support),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
483,Support Worker (Complex Service),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
484,Support Worker (Flexible Hours),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
485,Support Worker (Nights),ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: nights,STABLE,YES,
486,Support Worker (Part Time) Alltwen,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
487,Support Worker / Specialist SEN Nanny,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
488,Support Worker Bank,ELASTIC_FIT,2,demoted from HC in V10 cleanup: elastic modifier: bank,STABLE,YES,
489,Support Worker Driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
490,Support Worker Driver Specific,HARD_PASS,3,driver/transport requirement,STABLE,YES,
491,Support Worker Haverhill,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
492,Support Worker LD Home & Community,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
493,Support Worker Learning Disabilities,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
494,Support Worker Learning Disabilities - Cover Hours,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
495,Support Worker Part Time,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
496,Support worker School based,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
497,Support Worker Supported Living,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
498,Support Worker Team Manager,HARD_PASS,3,manager/coordinator/officer/admin/business support,STABLE,YES,
499,Support Worker- Must be a driver,HARD_PASS,3,driver/transport requirement,STABLE,YES,
500,Support Worker- Polish & English Speaking,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
501,Support Worker- Scottish Islands,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
502,Support Workers - Community & Outreach (Lanarkshire),HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
503,Support Workers - Newcastle,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
504,Support Workers - South Tyneside,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
505,Support Workers - Supported Living,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
506,Support Workers Childrens Mental Health Services,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
507,Support Workers for Islands,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
508,Support Workers to Teaching Assistants! - Kings Heath,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
509,Support Workers to Teaching Assistants! - Moseley,HARD_PASS,3,education/school/SEN/SEMH/teacher,STABLE,YES,
510,Support Workers- Full Time Role,HIGH_CONFIDENCE,1,core Support Worker wording,STABLE,YES,
